bpm,genre,title,artist
145,TECH-BREAKBEATS,naughty girl@Queen's Palace,DJ Mass MAD Izm*
151,ENERGETIC TRANCE,neogenesis,DM Ashura
160,DANCE MUSIC OF SORROW,NΦ CRIME,C×F
153,PSY TRANCE(FULL ON),Programmed World,kors k as StripE
152,BIGBEAT,Queen's Tragedy,猫叉Master+
150,TECH-PARA,Secrets,good-cool ft. CHiCO
177,CANDY RAVE,smooooch・∀・,kors k
152,TECHNO,SOLITON BEAM,L.E.D.
45-170,ONLY ONE EPILOGUE,THANK YOU FOR PLAYING,SUPER STAR 満-MITSURU-
148,ELEMENTAL CHANT,Turii ～Panta rhei～,Zektbach
150,PROGRESSIVE,V2,TAKA
145-876,90's RAVE,Y&Co. is dead or alive,Y&Co.
155,ONLY ONE TECHNO,You'll say "Now!",BLACK STAR 幸広-YUKIHIRO-
191,DANCE SPEED,3y3s,青龍
148,J-TRANCE,翼,小林ゆう
160,IRON CONCERTO,鉄甲乙女-under the steel-,Seiya Murai
150,RAGE AGAINST EMPRESS,天空脳番長危機十六連打,D.J.SETUP
143,HOU-ROCK,ハリツヤランデヴー,Des-MASTERS
83-185,ESOTERIC SPEEDCORE,卑弥呼,朱雀 VS 玄武
188,HARDCORE,不沈艦CANDY,Risk Junk
149,J-DANCE POP,まほろば,HHH+H
150,TRENDY TECHNO,ミッドナイト堕天使,Dr. Honda
148,ポップス,山岡晃の「クイズ！家事都合！」,AKIRA YAMAOKA feat.喜屋武ちあき
163,撫子ロック,凛として咲く花の如く,紅色リトマス
180,SPEEDCORE,AIR RAID FROM THA UNDAGROUND,GUHROOVY
178,AKASHIC RECORDS,Almagest,Galdeira
195,INDUSTRIAL,Bad Maniacs,kors k as teranoid
140,BUBBLEGUM DANCE,bass 2 bass,Ryu☆
175,E-DANCE POP,beatchic☆仮面～好き、でいさせて～,上野圭市(transforming into Masao♥Lovely)feat.星野奏子
172,DRUM'N'BASS,BEAUTIFUL ANGEL,DJ SWAN
102,ELECTRO POP,being torn the sky,猫叉Master+ feat.JUNE
181,HAPPY HARDCORE,bloomin' feeling,Ryu☆
180,SUBLIME TECHNO,CaptivAte～裁き～(SUBLIME TECHNO MIX),Remixed by DJ YOSHITAKA
30-240,NEXT SKOOL BREAKBEATS HARDCORE,D,Eagle
183,DRUM & BASS,DAWN -THE NEXT ENDEAVOUR-,L.E.D. fw.堀澤麻衣子
160,EUROBEAT,Dazzlin' Darlin-秋葉工房mix-,Remixed by DJ Command
